aX,aY,aZ,gX,gY,gZ
-0.812,-0.161,3.417,95.032,187.683,-16.724
-0.867,-0.349,3.333,98.999,261.963,-4.578
-0.850,-0.491,3.013,89.539,343.445,18.616
-0.819,-0.580,2.538,64.575,414.062,45.959
-0.758,-0.539,2.009,30.334,467.590,71.045
-0.654,-0.454,1.467,-2.686,503.357,90.515
-0.595,-0.350,0.970,-26.489,518.127,103.943
-0.508,-0.239,0.623,-39.429,518.005,109.924
-0.430,-0.154,0.337,-42.297,509.155,108.704
-0.366,-0.138,0.103,-35.522,495.422,107.056
-0.326,-0.138,-0.073,-21.240,481.384,105.591
-0.263,-0.118,-0.227,-7.080,469.604,104.797
-0.220,-0.117,-0.324,3.479,454.285,104.858
-0.177,-0.101,-0.355,3.479,435.852,102.783
-0.164,-0.064,-0.306,-7.019,414.001,99.487
-0.216,-0.048,-0.317,-23.987,391.907,97.595
-0.284,-0.036,-0.383,-41.687,376.953,98.999
-0.288,0.024,-0.477,-57.556,373.169,98.999
-0.291,0.091,-0.552,-68.604,371.948,94.849
-0.260,0.153,-0.649,-74.707,370.178,88.135
-0.238,0.167,-0.748,-72.693,365.601,83.008
-0.221,0.155,-0.842,-61.951,356.873,80.383
-0.181,0.126,-0.894,-47.546,346.741,78.491
-0.122,0.059,-0.885,-32.593,338.074,78.796
-0.026,0.070,-0.874,-18.982,331.177,78.125
0.055,0.105,-0.872,-10.437,320.740,72.937
0.116,0.116,-0.933,-7.751,305.420,65.674
0.178,0.132,-1.023,-8.240,286.682,59.387
0.237,0.152,-1.089,-9.521,265.869,53.101
0.266,0.174,-1.139,-8.423,243.225,47.546
0.223,0.160,-1.192,-5.432,217.285,44.983
0.146,0.141,-1.238,-5.737,192.566,44.983
0.085,0.154,-1.309,-11.902,170.471,44.922
0.055,0.192,-1.412,-20.020,148.315,44.556
0.073,0.230,-1.503,-25.513,127.502,45.166
0.105,0.250,-1.548,-25.696,106.323,45.959
0.115,0.274,-1.547,-23.437,84.656,43.640
0.131,0.313,-1.521,-21.484,67.078,35.706
0.134,0.320,-1.509,-18.372,48.645,26.794
0.165,0.305,-1.477,-12.695,32.593,19.836
0.206,0.288,-1.397,-6.836,19.409,15.137
0.261,0.255,-1.312,-3.174,8.362,11.719
0.327,0.257,-1.215,-3.235,0.488,9.033
0.387,0.279,-1.125,-4.578,-6.592,5.737
0.424,0.301,-1.057,-4.456,-12.512,1.160
0.450,0.296,-0.996,-1.221,-16.357,-3.540
0.481,0.273,-0.936,4.456,-17.395,-8.606
0.510,0.218,-0.882,9.033,-17.151,-11.902
0.554,0.168,-0.831,9.460,-15.320,-13.367
0.582,0.135,-0.787,5.676,-13.611,-12.756
0.612,0.135,-0.755,0.000,-10.925,-10.498
0.615,0.152,-0.727,-4.822,-9.338,-7.385
0.580,0.171,-0.711,-7.141,-8.789,-4.333
0.540,0.188,-0.713,-7.080,-6.287,-1.831
0.512,0.197,-0.718,-5.005,-2.075,-0.244
0.500,0.194,-0.732,-1.953,2.441,0.671
0.501,0.204,-0.752,-0.427,6.714,0.854
0.508,0.219,-0.793,0.000,9.888,0.366
0.519,0.239,-0.838,-0.061,10.437,-1.404
0.518,0.238,-0.863,1.282,9.277,-2.808
0.506,0.224,-0.872,3.235,6.348,-4.272
0.491,0.201,-0.874,5.188,2.747,-5.005
0.480,0.180,-0.859,6.348,0.183,-4.028
0.487,0.181,-0.836,6.165,-0.916,-2.197
0.489,0.196,-0.832,4.028,-2.136,0.000
0.497,0.216,-0.842,1.648,-3.052,2.075
0.514,0.234,-0.845,0.122,-4.089,3.235
0.537,0.241,-0.841,0.122,-5.371,3.723
0.549,0.238,-0.831,0.977,-7.751,3.784
0.555,0.236,-0.811,1.282,-10.254,3.113
0.554,0.243,-0.793,0.793,-11.963,1.587
0.546,0.241,-0.786,0.671,-12.695,0.183
0.544,0.235,-0.776,1.343,-12.329,-0.488
0.552,0.231,-0.766,2.197,-11.414,-0.366
0.562,0.227,-0.764,2.380,-10.132,0.061
0.570,0.228,-0.760,1.465,-8.850,-0.122
0.583,0.226,-0.766,0.549,-7.996,-0.122
0.583,0.223,-0.775,0.183,-7.507,0.000
0.586,0.222,-0.783,0.305,-6.897,-0.122
0.591,0.216,-0.787,0.305,-6.287,0.061
0.588,0.212,-0.798,-0.122,-6.592,0.854
0.591,0.216,-0.804,-1.709,-6.653,1.160
0.585,0.216,-0.805,-3.418,-6.897,0.854
0.567,0.222,-0.804,-4.211,-7.690,0.488
0.549,0.229,-0.806,-3.845,-7.568,0.061
0.542,0.235,-0.801,-2.563,-6.470,-0.916
0.543,0.236,-0.806,-0.732,-5.310,-1.770
0.550,0.225,-0.818,1.526,-4.211,-2.258
0.562,0.211,-0.829,3.113,-3.540,-2.747
0.570,0.198,-0.831,3.723,-3.723,-3.113
0.581,0.187,-0.826,3.723,-4.333,-2.991
0.593,0.193,-0.807,2.869,-4.944,-2.686
0.586,0.200,-0.790,1.648,-6.042,-2.502
0.577,0.206,-0.768,1.343,-7.324,-2.380
0.578,0.205,-0.748,2.197,-6.470,-1.953
0.583,0.200,-0.747,2.930,-5.432,-0.916
0.593,0.193,-0.751,2.319,-4.089,-0.244
0.601,0.186,-0.760,1.038,-3.296,0.427
0.611,0.185,-0.767,-1.038,-3.113,0.916
0.608,0.189,-0.768,-2.930,-3.601,1.465
0.596,0.196,-0.767,-3.479,-3.845,2.136
0.592,0.200,-0.765,-3.662,-4.211,2.319
0.588,0.203,-0.763,-3.601,-4.211,2.258
0.584,0.204,-0.764,-4.028,-4.333,2.136
0.580,0.207,-0.766,-4.395,-4.150,2.319
0.578,0.209,-0.769,-4.333,-3.784,2.380
